Number,labels,theta,radius,X,Y,Z,sph_theta,sph_phi,sph_radius
1,Fp1,-18,0.511,0.95,0.309,-0.0349, 18, -2,1
2,Fp2, 18,0.511,0.95,-0.309,-0.0349,-18, -2,1
3,F7,-54,0.511,0.587,0.809,-0.0349, 54, -2,1
4,F3,-39,0.333,0.673,0.545,0.5, 39, 30, 1
5,Fz,0,0.256,0.719, -0,0.695, -0, 44,1
6,F4, 39,0.333,0.673,-0.545,0.5,-39, 30,1
7,F8, 54,0.511,0.587,-0.809,-0.0349,-54, -2,1
8,T7,-90,0.511,6.12e-17,0.999,-0.0349, 90, -2,1
9,C3,-90,0.256,4.4e-17,0.719,0.695, 90, 44,1
10,Cz, 90,0,3.75e-33,-6.12e-17,1,-90, 90,1
11,C4, 90,0.256,4.4e-17,-0.719,0.695,-90, 44,1
12,T8, 90,0.511,6.12e-17,-0.999,-0.0349,-90, -2,1
